FAILURECODE,ORGID,FLCDESCRIPTION,PARENTCODE,TYPE
CE,EAGLENA,Combustion Engine,,
VIB,EAGLENA,Vibration,CE,PROBLEM
PLU,EAGLENA,Plugged/chocked,CE,PROBLEM
STD,EAGLENA,Structural deficiency,CE,PROBLEM
ELK,EAGLENA,External Leak,CE,PROBLEM
FTS,EAGLENA,Fail to start on demand,CE,PROBLEM
STP,EAGLENA,Fail to stop on demand,CE,PROBLEM
UST,EAGLENA,Spurous Stop,CE,PROBLEM
BRD,EAGLENA,Breakdown,CE,PROBLEM
FTO,EAGLENA,Fail to open on demand,CE,PROBLEM
OHE,EAGLENA,Overheating,CE,PROBLEM
PTF,EAGLENA,Power/Signal Transmission Failure,CE,PROBLEM
PDE,EAGLENA,Parameter deviation,CE,PROBLEM
