WONUM,SITEID,DESCRIPTION,PROBLEMCODE,FAILURECODE,WORKTYPE,AI_USEFORTRAINING
WO_TRAIN10,BEDFORD,Unable to start the equipment,FTS,CE,CM,1
WO_TRAIN11,BEDFORD,Replace part after failure to start,FTS,CE,CM,1
WO_TRAIN12,BEDFORD,Repaired after failure to start,FTS,CE,CM,1
WO_TRAIN13,BEDFORD,Failed to start due to damaged component,FTS,CE,CM,1
WO_TRAIN14,BEDFORD,Start system failed to function on demand,FTS,CE,CM,1
WO_TRAIN15,BEDFORD,Investigate start-up failure issue,FTS,CE,CM,1
WO_TRAIN16,BEDFORD,The component would not start after repeated attempts,FTS,CE,CM,1
WO_TRAIN17,BEDFORD,Could not run the unit after request to start,FTS,CE,CM,1
WO_TRAIN18,BEDFORD,Equipment failed to start. Replace control unit,FTS,CE,CM,1
WO_TRAIN19,BEDFORD,Problem on start-up of the equipment,FTS,CE,CM,1
WO_TRAIN20,BEDFORD,The valve doesn't open on demand,FTO,CE,CM,1
WO_TRAIN21,BEDFORD,Valve failed open replace part,FTO,CE,CM,1
WO_TRAIN22,BEDFORD,Fix valve that is failing to open,FTO,CE,CM,1
WO_TRAIN23,BEDFORD,Replaced component after valve failed to open,FTO,CE,CM,1
WO_TRAIN24,BEDFORD,Valve not opening after multiple attempts,FTO,CE,CM,1
WO_TRAIN25,BEDFORD,Valve stuck in open position,FTO,CE,CM,1
WO_TRAIN26,BEDFORD,Investigate failure to open when requested,FTO,CE,CM,1
WO_TRAIN27,BEDFORD,Valve not opening. Repair control unit,FTO,CE,CM,1
WO_TRAIN28,BEDFORD,Access panel not opening after repeated attempts,FTO,CE,CM,1
WO_TRAIN29,BEDFORD,Equipment not opening. Replace with new valve,FTO,CE,CM,1
WO_TRAIN30,BEDFORD,Abnormal vibration is observed,VIB,CE,CM,1
WO_TRAIN31,BEDFORD,High vibration levels on rotating machinery,VIB,CE,CM,1
WO_TRAIN32,BEDFORD,Replaced badly fitting component causing high vibration,VIB,CE,CM,1
WO_TRAIN33,BEDFORD,Check out excessive shaking on mechanical equipment,VIB,CE,CM,1
WO_TRAIN34,BEDFORD,Abnormal vibration requires equipment replacement,VIB,CE,CM,1
WO_TRAIN35,BEDFORD,Worn bearing causing high vibration replaced bearing,VIB,CE,CM,1
WO_TRAIN36,BEDFORD,Troubleshoot high vibration levels in machinery room,VIB,CE,CM,1
WO_TRAIN37,BEDFORD,Operations report high vibration. Investigated and found failed bearing,VIB,CE,CM,1
WO_TRAIN38,BEDFORD,Significant vibration reported. Investigated and raised follow up WO to replace vibrating component,VIB,CE,CM,1
WO_TRAIN39,BEDFORD,Equipment mounting replaced after report of high vibration levels,VIB,CE,CM,1
WO_TRAIN40,BEDFORD,Flow restriction(s) observed,PLU,CE,CM,1
WO_TRAIN41,BEDFORD,Replace blocked component,PLU,CE,CM,1
WO_TRAIN42,BEDFORD,Removed debris and cleaned blocked item,PLU,CE,CM,1
WO_TRAIN43,BEDFORD,Plugged instrument air line replaced,PLU,CE,CM,1
WO_TRAIN44,BEDFORD,Troubleshooted system blockage and replaced plugged component,PLU,CE,CM,1
WO_TRAIN45,BEDFORD,Replaced blocked filter and reset high pressure indication,PLU,CE,CM,1
WO_TRAIN46,BEDFORD,"Removed, cleaned and replace blocked air filter",PLU,CE,CM,1
WO_TRAIN47,BEDFORD,Investigate high differential pressure alarm on cooling water system,PLU,CE,CM,1
WO_TRAIN48,BEDFORD,Plug in lubrication system reported. Flush system and bleed,PLU,CE,CM,1
WO_TRAIN49,BEDFORD,Cooling water flow is choking due to blocked filter,PLU,CE,CM,1
